,gu,dong,ee
1,강동구,강일동,925
2,서초구,반포1동,815
3,강남구,삼성2동,760
4,구로구,고척2동,728
5,도봉구,방학1동,627
6,강북구,인수동,606
7,강동구,천호1동,567
8,서초구,반포4동,561
9,송파구,문정2동,554
10,서대문구,북가좌1동,528
11,관악구,난향동,514
12,서초구,방배2동,486
13,강북구,송천동,481
14,금천구,시흥4동,448
15,강동구,성내2동,434
16,구로구,구로2동,415
17,도봉구,방학2동,387
18,서초구,방배1동,376
19,영등포구,신길6동,368
20,금천구,독산2동,354
21,강남구,신사동,349
24,관악구,신사동,339
25,성동구,성수2가1동,331
26,성동구,성수1가2동,327
27,동작구,사당4동,309
28,종로구,교남동,291
29,용산구,한강로동,274
30,금천구,독산4동,272
31,서대문구,충현동,268
32,관악구,조원동,266
33,성북구,장위2동,255
34,강남구,대치4동,241
35,금천구,시흥3동,230
36,송파구,거여1동,227
37,중랑구,면목5동,209
38,용산구,효창동,201
39,종로구,숭인2동,104
40,구로구,가리봉동,98
41,종로구,창신2동,97
42,용산구,남영동,79
43,종로구,창신1동,56
44,종로구,삼청동,38
45,송파구,가락제1동,0
46,송파구,가락제2동,0
47,송파구,가락본동,0
48,금천구,가산동,0
49,강서구,가양제1동,0
50,강서구,가양제2동,0
51,강서구,가양제3동,0
52,종로구,가회동,0
53,은평구,갈현제1동,0
54,은평구,갈현제2동,0
55,구로구,개봉제1동,0
56,구로구,개봉제2동,0
57,구로구,개봉3동,0
58,강남구,개포1동,0
59,강남구,개포2동,0
60,강남구,개포4동,0
61,송파구,거여2동,0
62,강동구,고덕1동,0
63,강동구,고덕2동,0
64,구로구,고척1동,0
65,마포구,공덕동,0
66,노원구,공릉1동,0
67,노원구,공릉2동,0
68,강서구,공항동,0
69,광진구,광장동,0
70,중구,광희동,0
71,구로구,구로1동,0
72,구로구,구로3동,0
73,구로구,구로4동,0
74,구로구,구로5동,0
75,은평구,구산동,0
76,광진구,구의1동,0
77,광진구,구의2동,0
78,광진구,구의3동,0
79,광진구,군자동,0
80,성동구,금호1가동,0
81,성동구,금호2.3가동,0
82,성동구,금호4가동,0
83,강동구,길동,0
84,성북구,길음1동,0
85,성북구,길음2동,0
86,관악구,낙성대동,0
87,관악구,난곡동,0
88,서대문구,남가좌1동,0
89,서대문구,남가좌2동,0
90,관악구,남현동,0
91,서초구,내곡동,0
92,동작구,노량진1동,0
93,동작구,노량진2동,0
94,은평구,녹번동,0
95,강남구,논현1동,0
96,강남구,논현2동,0
97,광진구,능동,0
98,중구,다산동,0
99,동대문구,답십리1동,0
100,동대문구,답십리2동,0
101,영등포구,당산1동,0
102,영등포구,당산2동,0
103,영등포구,대림1동,0
104,영등포구,대림2동,0
105,영등포구,대림3동,0
106,동작구,대방동,0
107,은평구,대조동,0
108,강남구,대치1동,0
109,강남구,대치2동,0
110,관악구,대학동,0
111,마포구,대흥동,0
112,강남구,도곡1동,0
113,강남구,도곡2동,0
114,영등포구,도림동,0
115,도봉구,도봉1동,0
116,도봉구,도봉2동,0
117,마포구,도화동,0
118,금천구,독산1동,0
119,금천구,독산3동,0
120,성북구,돈암1동,0
121,성북구,돈암2동,0
122,성북구,동선동,0
123,중구,동화동,0
124,강동구,둔촌1동,0
125,강동구,둔촌2동,0
126,강서구,등촌1동,0
127,강서구,등촌2동,0
128,강서구,등촌3동,0
129,성동구,마장동,0
130,송파구,마천1동,0
131,송파구,마천2동,0
132,중랑구,망우3동,0
133,중랑구,망우본동,0
134,마포구,망원1동,0
135,마포구,망원2동,0
136,중랑구,면목2동,0
137,중랑구,면목3.8동,0
138,중랑구,면목4동,0
139,중랑구,면목7동,0
140,중랑구,면목본동,0
141,중구,명동,0
142,강동구,명일1동,0
143,강동구,명일2동,0
144,양천구,목1동,0
145,양천구,목2동,0
146,양천구,목3동,0
147,양천구,목4동,0
148,양천구,목5동,0
149,종로구,무악동,0
150,중랑구,묵1동,0
151,중랑구,묵2동,0
152,영등포구,문래동,0
153,송파구,문정1동,0
154,관악구,미성동,0
155,강북구,미아동,0
156,서초구,반포2동,0
157,서초구,반포3동,0
158,서초구,반포본동,0
159,강서구,발산1동,0
160,서초구,방배3동,0
161,서초구,방배4동,0
162,서초구,방배본동,0
163,송파구,방이1동,0
164,송파구,방이2동,0
165,도봉구,방학3동,0
166,강서구,방화1동,0
167,강서구,방화2동,0
168,강서구,방화3동,0
169,강북구,번1동,0
170,강북구,번2동,0
171,강북구,번3동,0
172,용산구,보광동,0
173,관악구,보라매동,0
174,성북구,보문동,0
175,종로구,부암동,0
176,서대문구,북가좌2동,0
177,서대문구,북아현동,0
178,은평구,불광1동,0
179,은평구,불광2동,0
180,성동구,사근동,0
181,동작구,사당1동,0
182,동작구,사당2동,0
183,동작구,사당3동,0
184,동작구,사당5동,0
185,종로구,사직동,0
186,강북구,삼각산동,0
187,성북구,삼선동,0
188,강남구,삼성1동,0
189,관악구,삼성동,0
190,강북구,삼양동,0
191,송파구,삼전동,0
192,노원구,상계10동,0
193,노원구,상계1동,0
194,노원구,상계2동,0
195,노원구,상계3.4동,0
196,노원구,상계5동,0
197,노원구,상계6.7동,0
198,노원구,상계8동,0
199,노원구,상계9동,0
200,동작구,상도1동,0
201,동작구,상도2동,0
202,동작구,상도3동,0
203,동작구,상도4동,0
204,중랑구,상봉1동,0
205,중랑구,상봉2동,0
206,마포구,상암동,0
207,강동구,상일동,0
208,마포구,서강동,0
209,마포구,서교동,0
210,관악구,서림동,0
211,용산구,서빙고동,0
212,관악구,서원동,0
213,서초구,서초1동,0
214,서초구,서초2동,0
215,서초구,서초3동,0
216,서초구,서초4동,0
217,성북구,석관동,0
218,송파구,석촌동,0
219,강동구,성내1동,0
220,강동구,성내3동,0
221,성북구,성북동,0
222,마포구,성산1동,0
223,마포구,성산2동,0
224,성동구,성수1가1동,0
225,성동구,성수2가3동,0
226,관악구,성현동,0
227,강남구,세곡동,0
228,중구,소공동,0
229,성동구,송정동,0
230,강북구,송중동,0
231,송파구,송파1동,0
232,송파구,송파2동,0
233,구로구,수궁동,0
234,은평구,수색동,0
235,강남구,수서동,0
236,강북구,수유1동,0
237,강북구,수유2동,0
238,강북구,수유3동,0
239,종로구,숭인1동,0
240,금천구,시흥1동,0
241,금천구,시흥2동,0
242,금천구,시흥5동,0
243,영등포구,신길1동,0
244,영등포구,신길3동,0
245,영등포구,신길4동,0
246,영등포구,신길5동,0
247,영등포구,신길7동,0
248,중랑구,신내1동,0
249,중랑구,신내2동,0
250,중구,신당5동,0
