"","gu","dong","total","perc_inv","result"
"322","성동구","성수1가2동",616,13.939736346516,8586.87758945386
"323","용산구","이촌2동",443,19.2926829268293,8546.65853658537
"324","송파구","거여1동",404,21.0407643312102,8500.46878980892
"325","관악구","삼성동",725,11.622864651774,8426.57687253614
"326","송파구","잠실7동",400,21.0407643312102,8416.30573248408
"327","마포구","연남동",528,15.875,8382
"328","금천구","가산동",622,13.4630681818182,8374.02840909091
"329","강동구","명일2동",530,15.7795031055901,8363.13664596273
"330","양천구","신월5동",725,11.4903433476395,8330.49892703863
"331","성동구","행당1동",585,13.939736346516,8154.74576271186
"332","관악구","신사동",695,11.622864651774,8077.89093298292
"333","종로구","평창동",718,11.1788617886179,8026.42276422764
"334","성북구","월곡2동",864,9.26223453370268,8002.57063711911
"335","양천구","신월3동",696,11.4903433476395,7997.27896995708
"336","성북구","삼선동",858,9.26223453370268,7946.9972299169
"337","성북구","정릉1동",856,9.26223453370268,7928.47276084949
"338","관악구","서림동",677,11.622864651774,7868.67936925099
"339","동대문구","청량리동",619,12.3951473136915,7672.59618717504
"340","관악구","청룡동",639,11.622864651774,7427.01051248357
"341","은평구","증산동",555,13.2664188351921,7362.8624535316
"342","용산구","효창동",381,19.2926829268293,7350.51219512195
"343","중구","약수동",805,8.90070921985816,7165.07092198582
"344","양천구","신정2동",613,11.4903433476395,7043.580472103
"345","강남구","대치4동",448,15.484237074401,6936.93820933165
"346","금천구","독산4동",512,13.4630681818182,6893.09090909091
"347","관악구","서원동",590,11.622864651774,6857.49014454665
"348","용산구","보광동",354,19.2926829268293,6829.60975609756
"349","성북구","보문동",735,9.26223453370268,6807.74238227147
"350","광진구","화양동",344,19.6361185983828,6754.82479784367
"351","종로구","교남동",596,11.1788617886179,6662.60162601626
"352","관악구","낙성대동",568,11.622864651774,6601.78712220762
"353","용산구","용산2가동",338,19.2926829268293,6520.92682926829
"354","강남구","개포2동",418,15.484237074401,6472.41109709962
"355","중구","중림동",715,8.90070921985816,6364.00709219858
"356","서초구","반포본동",290,21.9136029411765,6354.94485294118
"357","영등포구","신길1동",436,14.438566552901,6295.21501706485
"358","성동구","성수2가3동",447,13.939736346516,6231.06214689265
"359","강동구","상일동",392,15.7795031055901,6185.5652173913
"360","관악구","조원동",532,11.622864651774,6183.36399474376
