"","gu","dong","total","perc_inv","result"
"316","금천구","독산2동",354,13.4630681818182,4765.92613636364
"317","동대문구","제기동",383,12.3951473136915,4747.34142114385
"318","관악구","삼성동",401,11.622864651774,4660.76872536137
"319","구로구","구로4동",380,12.2261904761905,4645.95238095238
"320","성동구","성수2가1동",331,13.939736346516,4614.0527306968
"321","서대문구","신촌동",221,20.6739130434783,4568.9347826087
"322","성동구","성수1가2동",327,13.939736346516,4558.29378531073
"323","양천구","신정2동",393,11.4903433476395,4515.70493562232
"324","성북구","삼선동",487,9.26223453370268,4510.7082179132
"325","양천구","신월5동",387,11.4903433476395,4446.76287553648
"326","강남구","개포1동",285,15.484237074401,4413.00756620429
"327","양천구","신월3동",382,11.4903433476395,4389.31115879828
"328","동대문구","청량리동",354,12.3951473136915,4387.88214904679
"329","광진구","능동",223,19.6361185983828,4378.85444743935
"330","강남구","논현1동",280,15.484237074401,4335.58638083228
"331","성북구","정릉1동",466,9.26223453370268,4316.20129270545
"332","성북구","월곡2동",462,9.26223453370268,4279.15235457064
"333","마포구","연남동",266,15.875,4222.75
"334","종로구","평창동",377,11.1788617886179,4214.43089430894
"335","서초구","반포본동",190,21.9136029411765,4163.58455882353
"336","용산구","이촌2동",213,19.2926829268293,4109.34146341463
"337","관악구","청룡동",353,11.622864651774,4102.87122207622
"338","송파구","잠실7동",192,21.0407643312102,4039.82675159236
"339","관악구","신사동",339,11.622864651774,3940.15111695138
"340","은평구","증산동",295,13.2664188351921,3913.59355638166
"341","성동구","행당1동",280,13.939736346516,3903.12617702448
"342","용산구","효창동",201,19.2926829268293,3877.82926829268
"343","금천구","가산동",288,13.4630681818182,3877.36363636364
"344","관악구","서림동",329,11.622864651774,3823.92247043364
"345","강남구","대치4동",241,15.484237074401,3731.70113493064
"346","금천구","독산4동",272,13.4630681818182,3661.95454545455
"347","용산구","보광동",189,19.2926829268293,3646.31707317073
"348","강남구","개포2동",233,15.484237074401,3607.82723833543
"349","중구","약수동",398,8.90070921985816,3542.48226950355
"350","강남구","수서동",227,15.484237074401,3514.92181588903
